Date,DOW,Rm Sold,Revenue,ADR,RevPar,Occupancy_Pct
2023-03-15,Wed,339,185205.28,546.32825958702,546.32825958702,100.0
2023-03-16,Thu,331,183430.09,554.169456193353,541.091710914454,97.6401179941003
2023-03-17,Fri,284,135624.58,477.551338028169,400.072507374631,83.77581120943954
2023-03-18,Sat,256,115691.2,451.91875,341.27197640118,75.51622418879056
2023-03-19,Sun,224,102697.27,458.469955357142,302.941799410029,66.07669616519173
2023-03-20,Mon,192,86004.23,447.938697916666,253.699793510324,56.63716814159292
2023-03-21,Tue,183,80254.53,438.549344262295,236.739026548672,53.98230088495575
2023-03-22,Wed,145,58700.85,404.833448275862,173.158849557522,42.772861356932154
2023-03-23,Thu,120,45901.33,382.511083333333,135.40215339233,35.39823008849557
2023-03-24,Fri,111,44476.2,400.686486486486,131.198230088495,32.743362831858406
2023-03-25,Sat,101,39443.75,390.532178217821,116.353244837758,29.793510324483773
2023-03-26,Sun,90,34008.85,377.876111111111,100.321091445427,26.548672566371685
2023-03-27,Mon,92,34188.02,371.608913043478,100.849616519174,27.13864306784661
2023-03-28,Tue,99,39330.4,397.276767676767,116.018879056047,29.20353982300885
2023-03-29,Wed,100,37558.26,375.5826,110.791327433628,29.49852507374631
2023-03-30,Thu,108,39502.12,365.76037037037,116.525427728613,31.858407079646017
2023-03-31,Fri,113,41818.16,370.07221238938,123.357404129793,33.33333333333333
2023-04-01,Sat,96,36136.3599999999,376.420416666666,106.596932153392,28.31858407079646
2023-04-02,Sun,100,37553.4299999999,375.534299999999,110.777079646017,29.49852507374631
2023-04-03,Mon,110,40157.06,365.064181818181,118.457404129793,32.448377581120944
2023-04-04,Tue,106,38563.5,363.806603773584,113.756637168141,31.268436578171094
2023-04-05,Wed,105,38740.58,368.957904761904,114.278997050147,30.973451327433626
2023-04-06,Thu,107,40125.02,375.000186915887,118.362890855457,31.563421828908556
2023-04-07,Fri,95,33919.6099999999,357.048526315789,100.057846607669,28.023598820058996
2023-04-08,Sat,97,34591.91,356.617628865979,102.041032448377,28.613569321533923
2023-04-09,Sun,92,32876.88,357.357391304347,96.9819469026548,27.13864306784661
2023-04-10,Mon,88,31929.58,362.836136363636,94.1875516224188,25.958702064896755
2023-04-11,Tue,91,31603.5899999999,347.292197802197,93.2259292035398,26.843657817109147
2023-04-12,Wed,91,32319.78,355.162417582417,95.3385840707964,26.843657817109147
2023-04-13,Thu,97,35043.31,361.271237113402,103.372595870206,28.613569321533923
2023-04-14,Fri,90,33078.02,367.533555555555,97.5752802359882,26.548672566371685
2023-04-15,Sat,84,30324.42,361.005,89.4525663716814,24.778761061946902
2023-04-16,Sun,82,30091.19,366.965731707317,88.7645722713864,24.188790560471976
2023-04-17,Mon,79,31886.1,403.621518987341,94.0592920353982,23.303834808259587
2023-04-18,Tue,86,31670.32,368.25953488372,93.4227728613569,25.368731563421832
2023-04-19,Wed,92,32871.2699999999,357.296413043478,96.9653982300884,27.13864306784661
2023-04-20,Thu,130,47052.55,361.942692307692,138.79808259587,38.34808259587021
2023-04-21,Fri,184,77058.9,418.798369565217,227.31238938053,54.27728613569322
2023-04-22,Sat,290,125317.0,432.127586206896,369.666666666666,85.54572271386431
2023-04-23,Sun,253,108619.11,429.324545454545,320.4103539823,74.63126843657817
2023-04-24,Mon,241,96897.29,402.063443983402,285.832713864306,71.09144542772862
2023-04-25,Tue,220,81480.6599999999,370.366636363636,240.355929203539,64.89675516224189
2023-04-26,Wed,205,76476.95,373.058292682926,225.595722713864,60.47197640117994
2023-04-27,Thu,250,91171.73,364.68692,268.943156342182,73.74631268436578
2023-04-28,Fri,250,87943.92,351.77568,259.421592920354,73.74631268436578
2023-04-29,Sat,212,71845.7999999999,338.895283018867,211.934513274336,62.53687315634219
2023-04-30,Sun,228,84239.03,369.469429824561,248.492713864306,67.2566371681416
2023-05-01,Mon,261,99130.4899999999,379.810306513409,292.420324483775,76.99115044247787
2023-05-02,Tue,255,98636.2499999999,386.808823529411,290.96238938053,75.22123893805309
2023-05-03,Wed,266,98397.2799999999,369.914586466165,290.257463126843,78.46607669616519
2023-05-04,Thu,264,97012.0099999999,367.469734848484,286.171120943952,77.87610619469027
2023-05-05,Fri,250,84744.3999999999,338.977599999999,249.983480825958,73.74631268436578
2023-05-06,Sat,193,64210.17,332.69518134715,189.410530973451,56.932153392330385
2023-05-07,Sun,187,65113.7499999999,348.201871657754,192.075958702064,55.16224188790561
2023-05-08,Mon,229,73148.92,319.427598253275,215.778525073746,67.55162241887905
2023-05-09,Tue,220,73140.23,332.455590909091,215.752890855457,64.89675516224189
2023-05-10,Wed,196,63061.7199999999,321.743469387755,186.022772861356,57.817109144542776
2023-05-11,Thu,178,56182.29,315.630842696629,165.729469026548,52.50737463126843
2023-05-12,Fri,124,42516.5799999999,342.87564516129,125.417640117994,36.57817109144543
2023-05-13,Sat,111,38403.23,345.975045045045,113.283864306784,32.743362831858406
2023-05-14,Sun,113,39087.21,345.904513274336,115.301504424778,33.33333333333333
2023-05-15,Mon,136,42574.32,313.046470588235,125.587964601769,40.117994100294986
2023-05-16,Tue,161,48219.1599999999,299.497888198757,142.239410029498,47.49262536873156
2023-05-17,Wed,169,51085.95,302.28372781065,150.696017699115,49.852507374631266
2023-05-18,Thu,170,50685.66,298.15094117647,149.515221238938,50.14749262536873
2023-05-19,Fri,156,47045.26,301.572179487179,138.776578171091,46.017699115044245
2023-05-20,Sat,144,43129.01,299.507013888888,127.224218289085,42.47787610619469
2023-05-21,Sun,157,45109.99,287.324777070063,133.067817109144,46.312684365781706
2023-05-22,Mon,194,60428.38,311.48649484536,178.254808259587,57.227138643067846
2023-05-23,Tue,204,58366.81,286.11181372549,172.173480825958,60.17699115044248
2023-05-24,Wed,252,71821.83,285.007261904761,211.863805309734,74.33628318584071
2023-05-25,Thu,254,71405.68,281.124724409448,210.63622418879,74.92625368731564
2023-05-26,Fri,207,57743.19,278.952608695652,170.333893805309,61.06194690265486
2023-05-27,Sat,180,52861.48,293.674888888889,155.933569321533,53.09734513274337
2023-05-28,Sun,158,45378.83,287.207784810126,133.860855457227,46.607669616519175
2023-05-29,Mon,157,44238.49,281.77382165605,130.497020648967,46.312684365781706
2023-05-30,Tue,173,48475.2999999999,280.204046242774,142.994985250737,51.03244837758112
2023-05-31,Wed,172,51813.18,301.239418604651,152.841238938053,50.737463126843664
2023-06-01,Thu,169,48043.1199999999,284.278816568047,141.7201179941,49.852507374631266
2023-06-02,Fri,161,45914.95,285.18602484472,135.44233038348,47.49262536873156
2023-06-03,Sat,144,42321.39,293.898541666666,124.841858407079,42.47787610619469
2023-06-04,Sun,140,41026.61,293.047214285714,121.022448377581,41.29793510324484
2023-06-05,Mon,159,48031.51,302.084968553459,141.685870206489,46.902654867256636
2023-06-06,Tue,174,49563.71,284.848908045977,146.205634218289,51.32743362831859
2023-06-07,Wed,163,47613.2899999999,292.106073619631,140.452182890855,48.08259587020649
2023-06-08,Thu,154,45957.7599999999,298.427012987013,135.568613569321,45.42772861356932
2023-06-09,Fri,172,50482.75,293.504360465116,148.916666666666,50.737463126843664
2023-06-10,Sat,141,39223.92,278.183829787234,115.704778761061,41.5929203539823
2023-06-11,Sun,136,37654.9099999999,276.874338235294,111.076430678466,40.117994100294986
2023-06-12,Mon,136,39481.43,290.304632352941,116.464395280235,40.117994100294986
2023-06-13,Tue,145,41535.67,286.452896551724,122.524100294985,42.772861356932154
2023-06-14,Wed,162,46717.5899999999,288.380185185185,137.809999999999,47.78761061946903
2023-06-15,Thu,165,52235.8499999999,316.580909090909,154.088053097345,48.67256637168141
2023-06-16,Fri,153,44693.82,292.116470588235,131.84017699115,45.13274336283185
2023-06-17,Sat,135,37726.61,279.45637037037,111.287935103244,39.823008849557525
2023-06-18,Sun,117,32738.38,279.815213675213,96.5733923303835,34.51327433628318
2023-06-19,Mon,120,32296.51,269.137583333333,95.2699410029498,35.39823008849557
2023-06-20,Tue,134,39165.49,292.279776119403,115.532418879056,39.52802359882006
2023-06-21,Wed,118,36110.25,306.01906779661,106.519911504424,34.80825958702065
2023-06-22,Thu,115,34106.9099999999,296.581826086956,100.6103539823,33.92330383480826
2023-06-23,Fri,102,30607.96,300.078039215686,90.2889675516224,30.08849557522124
2023-06-24,Sat,99,29700.29,300.002929292929,87.6114749262536,29.20353982300885
2023-06-25,Sun,92,26400.1299999999,286.957934782608,77.8764896755162,27.13864306784661
2023-06-26,Mon,97,27620.41,284.74649484536,81.4761356932153,28.613569321533923
2023-06-27,Tue,124,38476.13,310.291370967741,113.498908554572,36.57817109144543
2023-06-28,Wed,171,52286.97,305.771754385964,154.238849557522,50.442477876106196
2023-06-29,Thu,201,68142.7699999999,339.018756218905,201.011120943952,59.29203539823009
2023-06-30,Fri,185,59675.31,322.569243243243,176.033362831858,54.572271386430685
2023-07-01,Sat,119,40208.89,337.889831932773,118.61029498525,35.10324483775811
2023-07-02,Sun,99,32580.4299999999,329.095252525252,96.1074631268436,29.20353982300885
2023-07-03,Mon,102,33920.09,332.549901960784,100.059262536873,30.08849557522124
2023-07-04,Tue,116,35324.54,304.521896551724,104.202182890855,34.21828908554572
2023-07-05,Wed,118,37070.31,314.155169491525,109.351946902654,34.80825958702065
2023-07-06,Thu,106,32748.1399999999,308.944716981132,96.6021828908554,31.268436578171094
2023-07-07,Fri,95,30413.13,320.138210526315,89.7142477876106,28.023598820058996
2023-07-08,Sat,98,29810.3199999999,304.18693877551,87.9360471976401,28.908554572271388
2023-07-09,Sun,91,27930.2699999999,306.926043956043,82.3901769911504,26.843657817109147
2023-07-10,Mon,102,31130.2899999999,305.198921568627,91.8297640117994,30.08849557522124
2023-07-11,Tue,121,35785.9299999999,295.751487603305,105.563215339233,35.693215339233035
2023-07-12,Wed,118,34285.4099999999,290.554322033898,101.136902654867,34.80825958702065
2023-07-13,Thu,117,34038.5699999999,290.927948717948,100.408761061946,34.51327433628318
2023-07-14,Fri,130,34072.61,262.097,100.509174041297,38.34808259587021
2023-07-15,Sat,93,27703.9799999999,297.892258064516,81.7226548672566,27.43362831858407
2023-07-16,Sun,110,32038.1999999999,291.256363636363,94.5079646017699,32.448377581120944
2023-07-17,Mon,113,33211.08,293.903362831858,97.9677876106194,33.33333333333333
2023-07-18,Tue,109,36539.03,335.220458715596,107.784749262536,32.15339233038348
2023-07-19,Wed,107,32825.24,306.777943925233,96.829616519174,31.563421828908556
2023-07-20,Thu,138,41021.29,297.255724637681,121.006755162241,40.707964601769916
2023-07-21,Fri,123,36772.59,298.964146341463,108.473716814159,36.283185840707965
2023-07-22,Sat,120,36829.17,306.90975,108.640619469026,35.39823008849557
2023-07-23,Sun,114,32336.28,283.651578947368,95.3872566371681,33.6283185840708
2023-07-24,Mon,106,29544.2,278.718867924528,87.1510324483775,31.268436578171094
2023-07-25,Tue,146,39698.7,271.908904109589,117.105309734513,43.067846607669615
2023-07-26,Wed,159,43839.75,275.721698113207,129.320796460176,46.902654867256636
2023-07-27,Thu,168,47932.62,285.313214285714,141.394159292035,49.557522123893804
2023-07-28,Fri,142,40744.18,286.930845070422,120.189321533923,41.88790560471977
2023-07-29,Sat,135,37317.28,276.424296296296,110.080471976401,39.823008849557525
2023-07-30,Sun,122,35051.59,287.308114754098,103.397020648967,35.9882005899705
2023-07-31,Mon,126,35397.49,280.93246031746,104.417374631268,37.16814159292036
2023-08-01,Tue,136,38253.6799999999,281.277058823529,112.842713864306,40.117994100294986
2023-08-02,Wed,141,44015.42,312.16609929078,129.838997050147,41.5929203539823
2023-08-03,Thu,168,49144.6,292.52738095238,144.969321533923,49.557522123893804
2023-08-04,Fri,173,47947.1,277.150867052023,141.436873156342,51.03244837758112
2023-08-05,Sat,147,42092.22,286.341632653061,124.165840707964,43.36283185840708
2023-08-06,Sun,124,34221.71,275.981532258064,100.948997050147,36.57817109144543
2023-08-07,Mon,128,35038.7,273.73984375,103.358997050147,37.75811209439528
2023-08-08,Tue,203,48938.15,241.074630541871,144.360324483775,59.882005899705014
